code,name,batch,stock,deal,free,mrp,rate,exp,company,supplier
RENT,RENT,,24,0,0,0,0,/  /,RENT,SARADA PHARMACY      MADHIRA
PACKTAG,TAG ROLL,XXX,15,0,0,0,0,/  /,GENARAL COMPANY,V.H.M.TRADERS VIJAYAWADA
PACKTAG,TAG ROLL,XXX,15,0,0,0,0,/  /,GENARAL COMPANY,V.H.M.TRADERS VIJAYAWADA
WLCMD,COLIMEX DROPS,CRR007A,-15,19,1,40.8,29.14,/  /,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD
XXCKS,GIFT ITEM,SHOWER TO,5,0,0,1,1,01/01/2031,GIFT ARTICALS,
XXCKS,GIFT ITEM,ZINCOLD TA,2,0,0,1,1,01/10/2030,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD
XXCLB,GIFT BAG,TRELLIS,2,0,0,0.01,0.01,01/03/2030,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD
XXCKS,GIFT ITEM,PAINT/SHAR,2,0,0,1,0.95,01/03/2030,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD
XXCKS,GIFT ITEM,NA,1,0,0,1,0.95,01/10/2025,GIFT ARTICALS,
XXCKS,GIFT ITEM,NA,4,0,0,1,0.95,01/10/2025,GIFT ARTICALS,
N2,TIFFIN BOX/FLASK NO,FOC,4,0,0,0,0,26/03/2025,GIFT ARTICALS,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
XXCKS,GIFT ITEM,NA,2,0,0,1,0.95,01/03/2025,GIFT ARTICALS,
CICPR,ROTAHALER,03J20020,-2,0,0,126.44,90.31,01/01/2025,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD
BDES2,BD EMERALD SYRINGE,30523,2400,0,0,8,2.2,01/01/2025,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDEM3,BD EMERALD SYRINGE,32479,7200,0,0,8,2.2,01/01/2025,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDEM3,BD EMERALD SYRINGE,35475,7200,0,0,8,2.2,01/01/2025,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
CICPR,ROTAHALER,03J20002,31,0,0,126.44,90.31,01/12/2024,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD
BDES5,BD EMERALD SYRINGE,9364723,1600,0,0,9,2.65,01/12/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDEM3,BD EMERALD SYRINGE,9362434,1000,0,0,8,2.2,01/11/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDE10,BD EMERALD SYRINGE,9362439,650,0,0,14.5,4.25,01/11/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDES2,BD EMERALD SYRINGE,9362431,3700,0,0,8,2.2,01/11/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDES2,BD EMERALD SYRINGE,9362431,4800,0,0,8,2.2,01/11/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
CICRE,REVOLIZER,38J19080,4,0,0,223.85,159.89,01/09/2024,CIPLA(RESP 1),CIPLA LIMITED  HYDERABAD
BDINS,BD INSULIN SYRINGE U 40,9231178,50,0,0,86,61.94,01/09/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
BDINS,BD INSULIN SYRINGE U 40,9231186,200,0,0,86,61.94,01/09/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
SUNZT,ZEPTOL 200MG TAB***,ESU1718,7,0,0,15.09,10.78,01/09/2024,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA
BDINS,BD INSULIN SYRINGE U 40,9231174,250,0,0,86,61.94,01/08/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
PFM16,MEDROL 16MG TABS,DA3714,24,0,0,134.45,103.48,01/08/2024,PFIZER  (RESPI),PFIZER LIMITED HYDERABAD
BDINU,BD INSULIN SYRINGE U 100,9154702,16,0,0,86,61.94,01/06/2024,BD SYRINGES  (MANTRI PHARMA),MANTRI PHARAM     HYDERABAD
PFMD4,MEDROL 4MG TABS,CY9788,14,0,0,52.59,37.56,01/04/2024,PFIZER  (RESPI),PFIZER LIMITED HYDERABAD
APNRT,NEERI TAB **,NERT3371D,15,10,1,155,110.72,01/03/2024,GENARAL COMPANY,LAKSHMI BALAJI CORPORATION VIJAYAWADA
MLOC1,OMNACORTIL 10MG TAB,GOC2024A,475,0,0,10.64,7.98,31/01/2024,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
WASEK,SENSODENT-K,SAF13BB4,12,10,1,115,82.14,01/01/2024,INDOCO (WARREN PHARMA),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
WASK5,SENSODENT-K,SAF39BB4,8,10,1,75,53.57,01/01/2024,INDOCO (WARREN PHARMA),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
WASE5,SENSOFORM,SAG5BB4,103,10,1,76,54.29,01/01/2024,INDOCO (WARREN PHARMA),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
UQMG2,METROGYL 200MG TAB,AM20006,-1,0,0,11.42,8.79,01/01/2024,J.B. CHE&PHARMA LIMITED  (DIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
